,id_school,name_school,latitude_school,longitude_school,type_technology,latitude_service_point,longitude_service_point,tower_range_meters,distance_km_school_service_point
81,3ca08bd8-a9c6-3e58-9cfc-02b34f33595c,GS KANOMBE LL,-1.2544,30.4786,cellular_tower,-1.2441,30.4117,4096.0,7.5205
82,3ca08bd8-a9c6-3e58-9cfc-02b34f33595c,GS KANOMBE LL,-1.2544,30.4786,cellular_tower,-1.2427,30.4115,5615.0,7.5675
83,3ca08bd8-a9c6-3e58-9cfc-02b34f33595c,GS KANOMBE LL,-1.2544,30.4786,cellular_tower,-1.2385,30.412,7883.0,7.6073
84,3ca08bd8-a9c6-3e58-9cfc-02b34f33595c,GS KANOMBE LL,-1.2544,30.4786,cellular_tower,-1.269,30.4117,1000.0,7.6098
85,3ca08bd8-a9c6-3e58-9cfc-02b34f33595c,GS KANOMBE LL,-1.2544,30.4786,cellular_tower,-1.2652,30.4099,16752.0,7.7283
86,3cb53b73-b3ec-33f2-ba15-f176a16479f3,GS NYABUBARE,-2.2428,29.3678,,,,,17.8745
87,3cb53b73-b3ec-33f2-ba15-f176a16479f3,GS NYABUBARE,-2.2428,29.3678,cellular_tower,-2.1948,29.2797,1046.0,11.1514
88,3cb53b73-b3ec-33f2-ba15-f176a16479f3,GS NYABUBARE,-2.2428,29.3678,cellular_tower,-2.1948,29.2797,1046.0,11.1514
89,3cb53b73-b3ec-33f2-ba15-f176a16479f3,GS NYABUBARE,-2.2428,29.3678,cellular_tower,-2.1974,29.2723,1891.0,11.7531
90,3cb53b73-b3ec-33f2-ba15-f176a16479f3,GS NYABUBARE,-2.2428,29.3678,cellular_tower,-2.1974,29.2723,1891.0,11.7531
91,3cb53b73-b3ec-33f2-ba15-f176a16479f3,GS NYABUBARE,-2.2428,29.3678,cellular_tower,-2.1974,29.2723,1891.0,11.7531
92,3cc8a03c-fc24-376f-9500-3285c072ea70,EP GITARAMUKA,-2.201,30.146,EVDSL,-2.2442,30.0976,,7.2085
93,3cc8a03c-fc24-376f-9500-3285c072ea70,EP GITARAMUKA,-2.201,30.146,FTTH,-2.1114,30.1695,,10.3034
94,3cc8a03c-fc24-376f-9500-3285c072ea70,EP GITARAMUKA,-2.201,30.146,EVDSL,-2.0894,30.1204,,12.7355
95,3cc8a03c-fc24-376f-9500-3285c072ea70,EP GITARAMUKA,-2.201,30.146,cellular_tower,-2.2045,30.1475,5698.0,0.4234
96,3cc8a03c-fc24-376f-9500-3285c072ea70,EP GITARAMUKA,-2.201,30.146,cellular_tower,-2.2037,30.1419,1000.0,0.5456
97,3cc8a03c-fc24-376f-9500-3285c072ea70,EP GITARAMUKA,-2.201,30.146,cellular_tower,-2.207,30.1456,1000.0,0.6687
98,3cc8a03c-fc24-376f-9500-3285c072ea70,EP GITARAMUKA,-2.201,30.146,cellular_tower,-2.2116,30.1433,2331.0,1.2162
99,3cc8a03c-fc24-376f-9500-3285c072ea70,EP GITARAMUKA,-2.201,30.146,cellular_tower,-2.2135,30.1507,2740.0,1.4848
100,3e40d1b0-e6c1-3b6d-926b-27387114e6a4,E.P KARIYERI,-1.9495,30.0639,cellular_tower,-1.9524,30.0638,3517.0,0.3218
101,3e40d1b0-e6c1-3b6d-926b-27387114e6a4,E.P KARIYERI,-1.9495,30.0639,cellular_tower,-1.9445,30.0652,3235.0,0.5759
102,3e40d1b0-e6c1-3b6d-926b-27387114e6a4,E.P KARIYERI,-1.9495,30.0639,cellular_tower,-1.9496,30.0586,1000.0,0.5863
103,3e40d1b0-e6c1-3b6d-926b-27387114e6a4,E.P KARIYERI,-1.9495,30.0639,cellular_tower,-1.9516,30.0688,2938.0,0.5947
104,3e40d1b0-e6c1-3b6d-926b-27387114e6a4,E.P KARIYERI,-1.9495,30.0639,cellular_tower,-1.9545,30.0658,2817.0,0.595
105,3e45a17d-8549-3c74-99fc-b65b85984316,EP MWANZA,-1.7268,29.7586,cellular_tower,-1.6476,29.7899,3876.0,9.4736
106,3e45a17d-8549-3c74-99fc-b65b85984316,EP MWANZA,-1.7268,29.7586,cellular_tower,-1.6465,29.7873,1000.0,9.4862
