,name_school,latitude_school,longitude_school,type_technology,latitude_service_point,longitude_service_point,tower_range_meters,distance_km_school_service_point
166,EP RUSAGARA,-2.1824,30.0981,EVDSL,-2.0894,30.1204,,10.6401
167,EP RUSAGARA,-2.1824,30.0981,FTTH,-2.1114,30.1695,,11.193
168,EP RUSAGARA,-2.1824,30.0981,FTTC,-2.2571,30.0208,,11.9475
169,EP RUSAGARA,-2.1824,30.0981,cellular_tower,-2.1737,30.1006,4672.0,1.0067
170,EP RUSAGARA,-2.1824,30.0981,cellular_tower,-2.1756,30.1068,3688.0,1.2263
171,EP RUSAGARA,-2.1824,30.0981,cellular_tower,-2.1714,30.1032,1116.0,1.348
172,EP RUSAGARA,-2.1824,30.0981,cellular_tower,-2.1709,30.1028,1000.0,1.3813
173,EP RUSAGARA,-2.1824,30.0981,cellular_tower,-2.1709,30.1028,1000.0,1.3813
174,GS NYABIKIRI-NGARAMA,-1.6044,30.4,ADSL,-1.7227,30.4191,,13.3166
175,GS NYABIKIRI-NGARAMA,-1.6044,30.4,cellular_tower,-1.611,30.3975,23693.0,0.7806
176,GS NYABIKIRI-NGARAMA,-1.6044,30.4,cellular_tower,-1.6098,30.393,24707.0,0.9801
177,GS NYABIKIRI-NGARAMA,-1.6044,30.4,cellular_tower,-1.6053,30.3905,23001.0,1.0602
178,GS NYABIKIRI-NGARAMA,-1.6044,30.4,cellular_tower,-1.6033,30.3905,22258.0,1.0635
179,GS NYABIKIRI-NGARAMA,-1.6044,30.4,cellular_tower,-1.6008,30.3906,4181.0,1.1204
180,EP MAGUMIRA,-2.4799,29.5062,EVDSL,-2.4705,29.5177,,1.644
181,EP MAGUMIRA,-2.4799,29.5062,EVDSL,-2.5006,29.5734,,7.816
182,EP MAGUMIRA,-2.4799,29.5062,EVDSL,-2.5327,29.4246,,10.8041
183,EP MAGUMIRA,-2.4799,29.5062,EVDSL,-2.4009,29.4098,,13.8552
184,EP MAGUMIRA,-2.4799,29.5062,cellular_tower,-2.4912,29.5113,1000.0,1.3814
185,EP MAGUMIRA,-2.4799,29.5062,cellular_tower,-2.4847,29.5186,1000.0,1.4773
186,EP MAGUMIRA,-2.4799,29.5062,cellular_tower,-2.4892,29.5164,2959.0,1.5357
187,EP MAGUMIRA,-2.4799,29.5062,cellular_tower,-2.4922,29.5139,2527.0,1.6158
188,EP MAGUMIRA,-2.4799,29.5062,cellular_tower,-2.4906,29.5162,4591.0,1.6297
189,EP NYAMUGARI,-2.792,29.7205,FTTH,-2.7961,29.7044,,1.8462
190,EP NYAMUGARI,-2.792,29.7205,EVDSL,-2.7612,29.7391,,4.0064
191,EP NYAMUGARI,-2.792,29.7205,FTTC,-2.8158,29.7542,,4.5761
192,EP NYAMUGARI,-2.792,29.7205,EVDSL,-2.8538,29.6066,,14.3986
193,EP NYAMUGARI,-2.792,29.7205,EVDSL,-2.6687,29.6748,,14.629
194,EP NYAMUGARI,-2.792,29.7205,cellular_tower,-2.624,29.7319,3047.0,18.7279
195,EP NYAMUGARI,-2.792,29.7205,cellular_tower,-2.6207,29.725,3690.0,19.0586
196,EP NYAMUGARI,-2.792,29.7205,cellular_tower,-2.5915,29.7092,1000.0,22.3345
197,EP NYAMUGARI,-2.792,29.7205,cellular_tower,-2.5915,29.7092,1000.0,22.3345
198,EP NYAMUGARI,-2.792,29.7205,cellular_tower,-2.5915,29.7092,1000.0,22.3345
199,E P MURAMBI,-2.3729,29.1531,FTTC,-2.4008,29.1733,,3.83
200,E P MURAMBI,-2.3729,29.1531,ADSL,-2.287,29.1669,,9.6804
201,E P MURAMBI,-2.3729,29.1531,FTTH,-2.3438,29.2427,,10.4706
202,E P MURAMBI,-2.3729,29.1531,EVDSL,-2.4781,29.1371,,11.828
203,E P MURAMBI,-2.3729,29.1531,cellular_tower,-2.3286,29.1386,1000.0,5.1841
204,E P MURAMBI,-2.3729,29.1531,cellular_tower,-2.3284,29.1388,1000.0,5.1984
205,E P MURAMBI,-2.3729,29.1531,cellular_tower,-2.3346,29.1259,1532.0,5.2225
206,E P MURAMBI,-2.3729,29.1531,cellular_tower,-2.3253,29.138,1000.0,5.5538
207,E P MURAMBI,-2.3729,29.1531,cellular_tower,-2.3253,29.138,1000.0,5.5538
208,EP NKAMBA,-1.9778,30.4814,cellular_tower,-1.9635,30.5001,12055.0,2.6142
209,EP NKAMBA,-1.9778,30.4814,cellular_tower,-1.9667,30.5029,8199.0,2.6863
210,EP NKAMBA,-1.9778,30.4814,cellular_tower,-1.9596,30.5207,11123.0,4.8104
